Show_ID,Title,Type,Country,Release_Year,Rating
S63,Stranger Things  ,Movie,USA,0,PG
S64,Money Heist  ,Tv Show,USA,2018,TV-14
S65,The Office ,Movie,UK,2020,Not Rated
S66,Money Heist  ,Tv Show,USA,2022,TV-14
S67,Friends ,Tv Show,USA,2020,PG
S68,Money Heist  ,Movie,CANADA,2018,TV-PG
S69,Narcos ,Movie,INDIA,2022,TV-MA
S70,Breaking Bad,Movie,USA,2022,TV-14
S71,Dark ,Movie,UNKNOWN,2022,TV-14
S72,Breaking Bad,Tv Show,UK,2020,R
S73,Narcos,Tv Show,GERMANY,2018,R
S74,The Crown,Movie,USA,2022,TV-MA
S75,Narcos ,Tv Show,USA,0,TV-MA
S76,Squid Game,Movie,INDIA,0,Not Rated
S77,Narcos,Tv Show,USA,2019,Not Rated
S78,Lucifer ,Tv Show,INDIA,0,PG
S79,Money Heist ,Movie,GERMANY,0,TV-MA
S80,Lucifer ,Movie,SPAIN,2022,TV-MA
S81,Breaking Bad ,Movie,UNKNOWN,2021,R
S82,The Witcher  ,Movie,CANADA,2022,R
S83,The Witcher,Tv Show,UNKNOWN,2022,Not Rated
S84,The Office,Movie,UK,2018,TV-PG
S85,Narcos,Tv Show,SPAIN,2019,PG
S86,Narcos  ,Movie,INDIA,0,R
S87,The Crown,Tv Show,INDIA,2018,R
S88,Dark ,Movie,GERMANY,2020,TV-PG
S89,Squid Game,Movie,INDIA,2019,TV-14
S90,The Witcher ,Tv Show,INDIA,2021,TV-MA
S91,Stranger Things  ,Tv Show,SPAIN,2019,TV-MA
S92,Narcos,Tv Show,UNKNOWN,2019,TV-14
S93,Lucifer,Tv Show,GERMANY,0,TV-MA
S94,Money Heist ,Tv Show,GERMANY,2020,TV-MA
S95,The Crown  ,Movie,UNKNOWN,2019,R
S96,The Crown ,Movie,UK,0,TV-PG
S97,Money Heist,Tv Show,CANADA,2020,TV-PG
S98,Dark ,Tv Show,GERMANY,2018,R
S99,The Office  ,Movie,USA,2019,TV-PG
S100,Lucifer  ,Tv Show,USA,2022,TV-MA
S101,The Witcher ,Tv Show,GERMANY,2019,PG
S102,The Witcher,Movie,INDIA,2019,TV-MA
S103,Friends,Movie,UK,2022,TV-14
S104,Money Heist  ,Movie,USA,2018,TV-14
S105,Friends,Movie,GERMANY,2021,PG
S106,Squid Game  ,Tv Show,SPAIN,2018,TV-PG
S107,The Office ,Movie,USA,2021,R
S108,Stranger Things,Tv Show,CANADA,0,R
S109,Ozark ,Tv Show,INDIA,2019,TV-PG
S110,Dark,Tv Show,USA,2022,TV-14
S111,Lucifer ,Movie,INDIA,0,PG
S112,Squid Game  ,Movie,UNKNOWN,0,TV-MA
S113,Ozark,Tv Show,USA,2020,TV-PG
S114,Lucifer  ,Tv Show,UK,2020,TV-MA
S115,Ozark ,Movie,INDIA,2021,Not Rated
S116,Squid Game,Movie,INDIA,2019,R
S117,The Witcher,Movie,UK,2021,TV-MA
S118,Stranger Things  ,Tv Show,INDIA,0,Not Rated
S119,Narcos  ,Tv Show,UNKNOWN,2021,PG
S120,Friends ,Tv Show,USA,2021,TV-PG
S121,Squid Game,Movie,UK,2019,TV-MA
S122,Stranger Things  ,Tv Show,USA,2019,TV-PG
S123,Breaking Bad,Movie,SPAIN,2021,TV-14
S124,Lucifer ,Movie,USA,2018,TV-MA
S125,Narcos,Movie,SPAIN,2020,TV-MA
S126,Dark,Movie,CANADA,2020,Not Rated
S127,Narcos,Tv Show,USA,2018,TV-14
S128,Lucifer  ,Movie,UK,2018,TV-14
S129,The Office ,Tv Show,USA,2020,R
S130,Stranger Things ,Tv Show,UK,2018,TV-MA
S131,Breaking Bad ,Tv Show,INDIA,2020,TV-14
S132,Money Heist  ,Movie,USA,2020,R
S133,The Crown,Movie,SPAIN,0,TV-14
S134,Money Heist,Movie,USA,2018,TV-MA
S135,Breaking Bad,Movie,UNKNOWN,2022,R
S136,Breaking Bad ,Tv Show,SPAIN,2022,TV-14
S137,Money Heist,Movie,USA,2021,TV-14
S138,Dark,Movie,INDIA,2018,TV-14
S139,Narcos  ,Movie,UK,2019,TV-14
S140,Narcos ,Tv Show,USA,2019,R
S141,Dark ,Movie,SPAIN,2022,R
S142,Lucifer ,Tv Show,CANADA,2021,TV-14
S143,Stranger Things,Tv Show,INDIA,2019,TV-MA
S144,Ozark ,Movie,SPAIN,2018,TV-PG
S145,Ozark,Movie,UK,2019,TV-14
S146,The Crown ,Movie,CANADA,2022,PG
S147,Lucifer,Movie,USA,0,Not Rated
S148,Lucifer  ,Movie,USA,2021,PG
S149,Squid Game ,Tv Show,USA,2022,TV-14
S150,Lucifer ,Tv Show,USA,2019,TV-MA
S151,Ozark ,Movie,UNKNOWN,2018,Not Rated
S152,Stranger Things  ,Tv Show,USA,2021,PG
S153,The Office  ,Tv Show,USA,2021,TV-MA
S154,The Crown  ,Movie,INDIA,2018,TV-PG
S155,Money Heist ,Movie,INDIA,2021,TV-PG
S156,Breaking Bad ,Movie,INDIA,2020,TV-MA
S157,Narcos,Tv Show,USA,0,R
S158,Stranger Things,Tv Show,INDIA,2021,R
S159,Friends ,Tv Show,INDIA,2021,TV-14
S160,Narcos ,Movie,GERMANY,2021,TV-PG
S161,Lucifer ,Movie,INDIA,2019,PG
S162,Ozark  ,Movie,SPAIN,2022,TV-14
S163,Stranger Things ,Tv Show,CANADA,2018,PG
S164,The Witcher ,Movie,USA,2022,TV-MA
S165,Friends ,Tv Show,USA,2021,TV-PG
S166,The Witcher  ,Movie,INDIA,2018,TV-MA
S167,The Witcher,Tv Show,UNKNOWN,2019,R
S168,Ozark,Movie,INDIA,2019,TV-14
S169,The Crown  ,Tv Show,INDIA,2018,R
S170,Lucifer ,Tv Show,INDIA,2020,PG
S171,Narcos  ,Tv Show,CANADA,2018,PG
S172,Ozark ,Tv Show,INDIA,2020,TV-MA
S173,Dark ,Tv Show,SPAIN,2022,Not Rated
S174,The Crown ,Movie,USA,2021,TV-MA
S175,Squid Game  ,Tv Show,USA,2020,TV-MA
S176,Ozark  ,Tv Show,UK,0,R
S177,Stranger Things ,Tv Show,UNKNOWN,2020,Not Rated
S178,Breaking Bad,Tv Show,USA,2019,R
S179,The Office ,Tv Show,USA,2018,TV-MA
S180,The Office  ,Movie,SPAIN,2019,TV-PG
S181,Narcos ,Movie,CANADA,2020,TV-MA
S182,The Office ,Tv Show,USA,2020,TV-PG
S183,Lucifer  ,Tv Show,INDIA,2019,TV-PG
S184,Stranger Things ,Tv Show,USA,2019,R
S185,Friends ,Tv Show,INDIA,2022,TV-14
S186,The Witcher  ,Movie,USA,2020,R
S187,Lucifer ,Tv Show,UNKNOWN,2021,TV-PG
S188,Money Heist ,Tv Show,GERMANY,0,R
S189,The Witcher  ,Movie,SPAIN,2022,Not Rated
S190,Squid Game  ,Movie,UK,2018,Not Rated
S191,The Witcher ,Movie,INDIA,2019,PG
S192,Stranger Things  ,Movie,USA,2020,TV-PG
S193,Narcos ,Movie,CANADA,2018,TV-14
S194,The Office ,Tv Show,INDIA,2019,R
S195,Lucifer ,Tv Show,INDIA,2022,R
S196,Dark ,Tv Show,INDIA,0,TV-14
S197,The Crown ,Movie,SPAIN,2018,Not Rated
S198,Stranger Things  ,Tv Show,INDIA,2022,TV-14
S199,Ozark,Movie,SPAIN,2018,R
S200,Lucifer,Movie,USA,0,R
S201,Money Heist ,Tv Show,GERMANY,2021,TV-MA
S202,Stranger Things  ,Tv Show,USA,2022,PG
S203,The Crown,Movie,INDIA,2021,R
S204,Ozark  ,Movie,UNKNOWN,2022,TV-MA
S205,Stranger Things,Movie,USA,2018,TV-MA
S206,Friends,Tv Show,INDIA,2018,TV-MA
S207,Ozark,Movie,USA,0,PG
S208,Lucifer  ,Tv Show,USA,0,TV-14
S209,Money Heist ,Movie,UK,0,TV-MA
S210,Ozark ,Tv Show,UK,2018,TV-MA
S211,The Witcher  ,Tv Show,UK,2022,TV-14
S212,Narcos ,Tv Show,INDIA,2022,R
S213,The Office ,Movie,CANADA,2020,Not Rated
S214,Ozark,Tv Show,USA,0,R
S215,Dark,Movie,UK,2018,R
S216,Breaking Bad,Movie,CANADA,2018,TV-PG
S217,Breaking Bad  ,Movie,INDIA,2021,PG
S218,Ozark,Tv Show,SPAIN,2022,TV-MA
S219,The Crown,Tv Show,SPAIN,2018,TV-14
S220,Stranger Things ,Tv Show,USA,2021,TV-14
S221,The Witcher  ,Movie,UK,2019,TV-MA
S222,Lucifer ,Tv Show,USA,2020,R
S223,Lucifer  ,Tv Show,USA,2019,TV-MA
S224,Breaking Bad  ,Movie,USA,2022,PG
S225,Friends  ,Movie,SPAIN,2020,TV-14
S226,Narcos  ,Movie,INDIA,2021,TV-MA
S227,Lucifer ,Movie,INDIA,0,Not Rated
S228,Lucifer,Movie,GERMANY,2022,R
S229,Ozark,Movie,USA,0,R
S230,Narcos ,Movie,USA,2018,Not Rated
S231,Dark  ,Tv Show,SPAIN,0,TV-14
S232,The Crown  ,Movie,UK,2021,TV-MA
S233,Friends ,Tv Show,CANADA,0,R
S234,Lucifer ,Movie,INDIA,2022,TV-14
S235,Stranger Things  ,Movie,UNKNOWN,0,R
S236,Money Heist  ,Tv Show,USA,0,PG
S237,Money Heist ,Movie,UNKNOWN,2022,TV-MA
S238,Friends ,Tv Show,UNKNOWN,2021,TV-PG
S239,Squid Game ,Tv Show,UNKNOWN,2022,TV-14
S240,The Office ,Tv Show,USA,2018,TV-MA
S241,Dark  ,Tv Show,GERMANY,2021,TV-MA
S242,The Crown,Movie,UK,2021,TV-MA
S243,Money Heist,Movie,SPAIN,2020,TV-PG
S244,Dark  ,Movie,CANADA,2019,Not Rated
S245,The Office  ,Tv Show,SPAIN,2021,TV-PG
S246,Money Heist  ,Movie,USA,0,TV-PG
S247,Narcos  ,Tv Show,USA,2021,TV-MA
S248,Friends,Tv Show,USA,2021,PG
S249,Ozark,Movie,UNKNOWN,0,TV-PG
S250,Lucifer ,Tv Show,USA,2018,TV-MA
S251,The Witcher,Tv Show,CANADA,2018,TV-MA
S252,The Office,Tv Show,USA,2019,TV-PG
S253,Squid Game,Movie,SPAIN,2022,TV-14
S254,The Crown ,Tv Show,UNKNOWN,2022,PG
S255,Money Heist  ,Tv Show,UK,2022,R
S256,Ozark,Tv Show,INDIA,2022,Not Rated
S257,Squid Game,Tv Show,GERMANY,0,TV-14
S258,Ozark,Tv Show,INDIA,2022,TV-MA
S259,Lucifer  ,Movie,UK,0,Not Rated
S260,Squid Game ,Tv Show,SPAIN,0,PG
S261,The Witcher  ,Movie,GERMANY,2018,TV-PG
S262,The Witcher,Tv Show,GERMANY,2021,TV-MA
S263,Breaking Bad,Tv Show,UNKNOWN,2021,TV-14
S264,Squid Game ,Tv Show,USA,0,R
S265,Breaking Bad ,Movie,INDIA,2018,TV-MA
S266,Narcos,Tv Show,INDIA,2019,PG
S267,Ozark,Movie,GERMANY,2021,TV-MA
S268,Friends  ,Tv Show,USA,2020,TV-MA
S269,Squid Game  ,Tv Show,SPAIN,2021,TV-MA
S270,Ozark ,Tv Show,INDIA,2020,TV-MA
S271,The Office ,Tv Show,INDIA,0,TV-14
S272,The Crown ,Movie,CANADA,0,TV-MA
S273,Lucifer,Tv Show,USA,2020,PG
S274,Stranger Things,Tv Show,USA,2021,TV-14
S275,Money Heist ,Tv Show,USA,2020,TV-14
S276,The Office ,Tv Show,USA,2021,PG
S277,The Office ,Movie,UK,2022,TV-14
S278,The Witcher ,Movie,UK,2020,PG
S279,The Witcher  ,Tv Show,USA,2021,TV-PG
S280,Dark,Tv Show,USA,2021,TV-14
S281,Ozark  ,Tv Show,UNKNOWN,2019,Not Rated
S282,Ozark ,Movie,USA,2022,R
S283,The Office,Tv Show,SPAIN,2020,PG
S284,Ozark  ,Tv Show,INDIA,2020,TV-PG
S285,The Crown,Tv Show,USA,2021,R
S286,The Crown  ,Movie,INDIA,2021,TV-MA
S287,Stranger Things ,Movie,INDIA,2018,PG
S288,Ozark  ,Tv Show,UK,2021,R
S289,Narcos ,Movie,USA,2021,TV-MA
S290,The Crown ,Tv Show,UNKNOWN,0,TV-MA
S291,The Crown  ,Movie,USA,2020,TV-14
S292,Narcos ,Tv Show,INDIA,2021,TV-MA
S293,The Crown ,Tv Show,UK,0,R
S294,The Witcher ,Movie,USA,0,Not Rated
S295,The Office ,Tv Show,USA,2019,TV-MA
S296,The Witcher  ,Movie,UNKNOWN,2020,TV-14
S297,Squid Game,Tv Show,CANADA,2020,TV-MA
S298,The Witcher  ,Movie,INDIA,2020,PG
S299,Squid Game  ,Movie,UNKNOWN,2022,Not Rated
S300,Friends ,Movie,UK,2019,Not Rated
S301,Ozark ,Movie,UK,2021,TV-MA
S302,Squid Game  ,Movie,USA,2018,PG
S303,Narcos  ,Tv Show,INDIA,2021,TV-MA
S304,Dark ,Movie,USA,2021,PG
S305,Dark ,Movie,GERMANY,2020,R
S306,The Witcher,Tv Show,SPAIN,2018,R
S307,Friends ,Tv Show,GERMANY,0,TV-PG
S308,Ozark  ,Tv Show,USA,2020,TV-PG
S309,The Office  ,Movie,USA,2021,Not Rated
S310,Ozark,Movie,INDIA,2021,TV-14
S311,Ozark,Tv Show,USA,2020,R
S312,Friends ,Movie,CANADA,0,R
S313,The Crown,Movie,INDIA,2021,TV-14
S314,Stranger Things ,Tv Show,SPAIN,0,Not Rated
S315,The Crown ,Tv Show,CANADA,0,Not Rated
S316,Squid Game,Movie,INDIA,2019,TV-14
S317,Ozark,Movie,USA,2022,R
S318,Stranger Things,Tv Show,GERMANY,2021,R
S319,Squid Game,Tv Show,UNKNOWN,2022,PG
S320,Money Heist,Movie,SPAIN,2022,Not Rated
S321,Money Heist,Tv Show,USA,2021,Not Rated
S322,Lucifer,Tv Show,GERMANY,2020,TV-MA
S323,Friends,Tv Show,UNKNOWN,0,Not Rated
S324,Narcos ,Tv Show,USA,2019,TV-PG
S325,The Witcher  ,Tv Show,CANADA,2022,R
S326,The Witcher  ,Movie,UK,0,TV-MA
S327,Narcos,Tv Show,UNKNOWN,2021,R
S328,The Crown ,Tv Show,CANADA,2022,R
S329,Breaking Bad ,Movie,USA,2022,Not Rated
S330,The Office,Movie,USA,2020,Not Rated
S331,Dark  ,Tv Show,INDIA,2020,TV-MA
S332,Squid Game ,Movie,UK,0,TV-14
S333,Ozark,Tv Show,SPAIN,0,TV-14
S334,Money Heist  ,Movie,USA,2022,TV-14
S335,Dark ,Tv Show,USA,2018,TV-MA
S336,The Witcher ,Tv Show,INDIA,0,PG
S337,Squid Game,Tv Show,UNKNOWN,2020,TV-PG
S338,Money Heist ,Tv Show,USA,2020,R
S339,The Office  ,Movie,CANADA,2021,PG
S340,Ozark ,Movie,INDIA,2020,Not Rated
S341,The Office ,Tv Show,SPAIN,2019,TV-MA
S342,Breaking Bad  ,Movie,INDIA,2020,Not Rated
S343,Narcos ,Movie,UNKNOWN,2019,TV-MA
S344,The Office,Movie,UNKNOWN,2021,PG
S345,Narcos,Movie,USA,2020,TV-MA
S346,Money Heist,Movie,INDIA,2020,PG
S347,Dark ,Tv Show,GERMANY,2020,Not Rated
S348,Breaking Bad ,Movie,GERMANY,0,TV-MA
S349,Squid Game ,Tv Show,GERMANY,2019,TV-MA
S350,Squid Game ,Tv Show,UNKNOWN,2020,TV-MA
S351,Lucifer  ,Movie,USA,2019,TV-PG
S352,Friends,Movie,USA,2022,Not Rated
S353,The Office  ,Movie,USA,2022,R
S354,Breaking Bad,Tv Show,USA,2019,TV-PG
S355,Friends ,Movie,INDIA,2022,TV-MA
S356,Breaking Bad  ,Tv Show,UNKNOWN,2022,R
S357,Lucifer ,Movie,CANADA,2019,PG
S358,Ozark ,Movie,UK,2022,Not Rated
S359,The Witcher ,Tv Show,UK,2021,PG
S360,The Office ,Tv Show,USA,2021,TV-MA
S361,Ozark  ,Tv Show,UNKNOWN,2019,PG
S362,Ozark  ,Tv Show,INDIA,2022,TV-MA
S363,The Crown  ,Tv Show,SPAIN,2018,TV-14
S364,Friends  ,Movie,CANADA,2018,TV-PG
S365,The Witcher,Movie,USA,2020,TV-PG
S366,Ozark,Tv Show,INDIA,2020,TV-MA
S367,Friends  ,Movie,USA,2019,TV-PG
S368,Ozark,Movie,GERMANY,2018,TV-PG
S369,The Witcher  ,Tv Show,GERMANY,2019,R
S370,Dark ,Tv Show,GERMANY,2022,R
S371,Breaking Bad ,Movie,GERMANY,2022,TV-PG
S372,Ozark  ,Tv Show,UNKNOWN,2018,Not Rated
S373,Narcos ,Tv Show,INDIA,2022,PG
S374,Breaking Bad,Movie,INDIA,2022,Not Rated
S375,Stranger Things ,Tv Show,UK,2022,TV-14
S376,Squid Game,Movie,UNKNOWN,2018,TV-14
S377,Friends,Tv Show,USA,2018,Not Rated
S378,The Witcher  ,Movie,USA,2019,PG
S379,Ozark ,Movie,INDIA,2022,TV-14
S380,Lucifer ,Movie,USA,2018,TV-PG
S381,The Crown ,Tv Show,SPAIN,2021,TV-MA
S382,Lucifer  ,Tv Show,USA,2019,TV-MA
S383,Squid Game,Tv Show,USA,2018,Not Rated
S384,Ozark,Movie,USA,2021,R
S385,Narcos,Movie,INDIA,2021,PG
S386,The Office  ,Movie,GERMANY,2022,PG
S387,Stranger Things,Movie,SPAIN,2020,R
S388,Friends  ,Movie,UK,2022,R
S389,Friends  ,Tv Show,SPAIN,2020,Not Rated
S390,Friends,Movie,GERMANY,2021,TV-MA
S391,Squid Game ,Movie,CANADA,2021,R
S392,Stranger Things,Movie,USA,2018,TV-MA
S393,The Office  ,Tv Show,UK,2018,TV-MA
S394,Narcos ,Movie,USA,0,R
S395,The Witcher ,Tv Show,GERMANY,2019,PG
S396,Ozark ,Movie,USA,2021,TV-MA
S397,Breaking Bad ,Movie,USA,0,TV-MA
S398,Narcos ,Movie,UNKNOWN,2020,Not Rated
S399,The Office ,Movie,UNKNOWN,2020,TV-MA
S400,Squid Game  ,Movie,UNKNOWN,0,Not Rated
S401,Ozark  ,Tv Show,USA,2018,TV-14
S402,The Crown ,Tv Show,USA,2018,PG
S403,Money Heist  ,Movie,INDIA,0,TV-14
S404,Squid Game ,Movie,CANADA,2018,R
S405,Squid Game ,Tv Show,INDIA,2020,TV-MA
S406,Ozark,Tv Show,UNKNOWN,2021,Not Rated
S407,Narcos,Tv Show,USA,2022,TV-PG
S408,Friends ,Tv Show,USA,2019,TV-MA
S409,Breaking Bad ,Movie,UNKNOWN,0,TV-PG
S410,Squid Game ,Tv Show,USA,0,TV-MA
S411,Narcos  ,Movie,CANADA,0,TV-MA
S412,Squid Game ,Movie,USA,2018,PG
S413,Ozark  ,Movie,UNKNOWN,2020,R
S414,Dark ,Movie,USA,0,TV-MA
S415,Stranger Things,Movie,UNKNOWN,2019,Not Rated
S416,Friends ,Tv Show,UK,2021,TV-MA
S417,Friends  ,Tv Show,INDIA,2020,TV-MA
S418,The Crown ,Movie,USA,2018,TV-14
S419,Breaking Bad  ,Tv Show,SPAIN,2018,TV-PG
S420,Breaking Bad  ,Tv Show,USA,2018,R
S421,Lucifer ,Tv Show,USA,2020,TV-14
S422,The Office  ,Movie,GERMANY,2020,PG
S423,The Crown ,Tv Show,USA,2022,TV-14
S424,Money Heist  ,Tv Show,UK,2020,TV-14
S425,Friends ,Tv Show,GERMANY,2019,TV-MA
S426,The Witcher  ,Tv Show,INDIA,2021,R
S427,The Crown,Movie,SPAIN,2018,Not Rated
S428,Breaking Bad  ,Tv Show,USA,2018,TV-MA
S429,Lucifer ,Movie,INDIA,0,Not Rated
S430,The Witcher,Tv Show,UK,0,TV-MA
S431,Dark ,Movie,UK,2022,TV-14
S432,The Crown,Movie,UNKNOWN,2022,TV-PG
S433,Narcos  ,Tv Show,UNKNOWN,2020,R
S434,Stranger Things ,Movie,USA,2018,TV-14
S435,Stranger Things ,Tv Show,SPAIN,0,TV-MA
S436,The Office,Tv Show,UK,2018,Not Rated
S437,Dark  ,Movie,USA,2021,TV-PG
S438,Squid Game,Movie,USA,2018,PG
S439,Friends  ,Tv Show,USA,2020,TV-PG
S440,The Office ,Movie,INDIA,2018,TV-PG
S441,The Office ,Tv Show,INDIA,0,R
S442,Stranger Things,Movie,SPAIN,2019,TV-MA
S443,Stranger Things,Tv Show,USA,2019,Not Rated
S444,Breaking Bad,Movie,UK,0,Not Rated
S445,The Witcher,Tv Show,USA,2018,TV-MA
S446,Lucifer,Movie,INDIA,2022,PG
S447,Friends,Movie,UK,0,R
S448,Dark ,Movie,USA,2019,TV-PG
S449,The Crown  ,Tv Show,UK,2019,PG
S450,Lucifer  ,Movie,GERMANY,2019,Not Rated
S451,Stranger Things  ,Movie,SPAIN,2020,Not Rated
S452,The Office,Movie,USA,2020,PG
S453,The Crown,Tv Show,UK,0,TV-PG
S454,Breaking Bad  ,Movie,USA,2022,TV-MA
S455,Lucifer  ,Movie,INDIA,2022,R
S456,Squid Game  ,Movie,USA,2018,TV-14
S457,Friends  ,Tv Show,GERMANY,2021,PG
S458,The Witcher  ,Movie,GERMANY,2020,TV-MA
S459,Lucifer  ,Tv Show,USA,2020,TV-14
S460,The Office  ,Tv Show,USA,2020,TV-MA
S461,The Office,Movie,USA,2022,TV-14
S462,The Crown ,Movie,UNKNOWN,0,Not Rated
S463,Squid Game ,Movie,INDIA,2021,TV-14
S464,Narcos ,Tv Show,USA,0,Not Rated
S465,Friends ,Movie,INDIA,0,TV-MA
S466,Stranger Things  ,Tv Show,GERMANY,0,TV-MA
S467,Money Heist  ,Tv Show,UK,2022,R
S468,Friends  ,Tv Show,USA,2022,TV-MA
S469,Stranger Things ,Movie,USA,0,TV-PG
S470,The Crown,Tv Show,INDIA,2019,TV-14
S471,The Office  ,Movie,UNKNOWN,2022,TV-14
S472,Money Heist  ,Tv Show,UK,0,PG
S473,The Office ,Tv Show,USA,2022,R
S474,The Witcher,Movie,SPAIN,2021,Not Rated
S475,Lucifer  ,Movie,UK,2022,R
S476,Squid Game,Tv Show,GERMANY,2020,TV-PG
S477,Breaking Bad  ,Tv Show,USA,2019,TV-MA
S478,The Crown  ,Movie,USA,2021,TV-14
S479,The Crown,Tv Show,INDIA,0,TV-MA
S480,Dark,Tv Show,UNKNOWN,2022,Not Rated
S481,Dark ,Movie,INDIA,2022,PG
S482,Ozark,Movie,GERMANY,0,TV-PG
S483,Money Heist  ,Tv Show,INDIA,2020,TV-PG
S484,The Crown ,Movie,INDIA,2022,PG
S485,Ozark,Tv Show,UK,2020,TV-MA
S486,Money Heist ,Tv Show,USA,2020,TV-MA
S487,Lucifer,Tv Show,CANADA,2022,TV-MA
S488,Squid Game,Tv Show,GERMANY,2018,TV-PG
S489,Friends,Movie,USA,2018,R
S490,Breaking Bad  ,Tv Show,USA,2018,R
S491,Narcos ,Tv Show,SPAIN,2020,TV-MA
S492,Narcos ,Tv Show,UK,2018,PG
S493,Dark,Movie,USA,2018,TV-MA
S494,The Crown  ,Movie,SPAIN,0,PG
S495,Lucifer  ,Tv Show,UK,2021,PG
S496,The Crown  ,Movie,SPAIN,2021,PG
S497,The Witcher  ,Tv Show,USA,2022,PG
S498,Friends  ,Tv Show,INDIA,2020,TV-PG
S499,Ozark ,Movie,USA,0,TV-MA
S500,Friends  ,Tv Show,USA,2018,PG
S501,Narcos  ,Movie,UK,2022,TV-MA
S502,Narcos  ,Tv Show,USA,0,Not Rated
S503,Money Heist,Movie,UK,0,Not Rated
S504,Ozark ,Tv Show,INDIA,2021,TV-MA
S505,Lucifer,Tv Show,UK,2018,TV-14
S506,The Office  ,Tv Show,GERMANY,0,TV-PG
S507,The Office  ,Tv Show,CANADA,2019,TV-14
S508,Stranger Things,Tv Show,GERMANY,2019,TV-MA
S509,Narcos ,Movie,UNKNOWN,2019,TV-MA
S510,The Office ,Movie,GERMANY,2021,TV-MA
S511,Breaking Bad  ,Tv Show,USA,2022,TV-PG
S512,The Crown  ,Tv Show,SPAIN,0,TV-MA
S513,Ozark ,Tv Show,USA,2022,PG
S514,Dark ,Tv Show,INDIA,2019,TV-PG
S515,Friends  ,Tv Show,INDIA,2019,TV-PG
S516,Friends ,Tv Show,UNKNOWN,2021,TV-MA
S517,Narcos ,Movie,USA,2018,TV-MA
S518,The Office ,Movie,SPAIN,2022,TV-14
S519,Dark,Tv Show,INDIA,2019,Not Rated
S520,Dark  ,Tv Show,INDIA,2018,TV-MA
S521,Lucifer  ,Movie,USA,0,Not Rated
